Designator,Quantity,Description,Mfg,Mfg #,Digikey #,Unit Price,Total,,$26.20
"C1, C2, C3",3,10uF,Panasonic,ECE-A1HKS100,P997-ND,$0.34 ,$1.02,,
D1,1,1N4001,Comchip,1N4001-G,641-1310-1-ND,$0.21 ,$0.21,,
DSUB1,1,5747842-4,TE Connectivity,5747842-4,A32100-ND,$5.34 ,$5.34,,
J1,1,Barrel_Jack_Switch,Shurter,4840.2201,486-3381-ND,$3.20 ,$3.20,,
JP1,1,Jumper_2_Open,Harwin,"	M20-9990246",952-2262-ND,$0.10 ,$0.10,,
Q1,1,IRF9Z34NPBF,Infineon,IRF9Z34NPBF,IRF9Z34NPBF-ND,$1.68 ,$1.68,,
Q2,1,BS170,OnSemi,BS170,BS170-ND,$0.45 ,$0.45,,
"R1, R2",2,10k,TE Connectivity,CFR16J10K,A104668CT-ND,$0.10 ,$0.20,,
REG1,1,R-78E5.0-1.0,Recom,R-78E5.0-1.0,945-2201-ND,$3.97 ,$3.97,,
REG2,1,R-78E3.3-1.0,Recom,R-78E3.3-1.0,945-2409-5-ND,$3.97 ,$3.97,,
"U1, U2, U3, U4",4,SFH11-PBPC-D13-ST-BK,Sullins,SFH11-PBPC-D13-ST-BK,S9198-ND,$1.49 ,$5.96,,
JP1,1,Jumper,Sullins,QPC02SXGN-RC,S9337-ND,$0.10 ,$0.10,,
