pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
25.095,23.3,-90.0,top,C1,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100n,tht
73.99,23.305,-90.0,top,C2,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100n,tht
49.86,23.3,-90.0,top,C3,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100n,tht
81.61,10.62,-90.0,top,C4,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100n,tht
22.936,35.512,180.0,top,J0,,,PinHeader_1x03_P2.54mm_Vertical,CON_HEADER_1X03-PTH,tht
20.396,35.512,180.0,top,J1,,,PinHeader_1x03_P2.54mm_Vertical,CON_HEADER_1X03-PTH,tht
17.856,35.512,180.0,top,J2,,,PinHeader_1x03_P2.54mm_Vertical,CON_HEADER_1X03-PTH,tht
15.316,35.512,180.0,top,J3,,,PinHeader_1x03_P2.54mm_Vertical,CON_HEADER_1X03-PTH,tht
12.776,35.512,180.0,top,J4,,,PinHeader_1x03_P2.54mm_Vertical,CON_HEADER_1X03-PTH,tht
10.236,35.512,180.0,top,J5,,,PinHeader_1x03_P2.54mm_Vertical,CON_HEADER_1X03-PTH,tht
7.696,35.512,180.0,top,J6,,,PinHeader_1x03_P2.54mm_Vertical,CON_HEADER_1X03-PTH,tht
5.156,35.512,180.0,top,J7,,,PinHeader_1x03_P2.54mm_Vertical,CON_HEADER_1X03-PTH,tht
96.85,25.86,0.0,top,J8,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10_Pin,tht
43.2052,12.7028,-90.0,top,P1,,,IDC-Header_2x13_P2.54mm_Horizontal,Conn_02x13_Odd_Even,tht
89.865,32.21,90.0,top,R0,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
80.975,32.21,90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
72.085,32.21,90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
63.195,32.21,90.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
54.305,32.21,90.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
45.415,32.21,90.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
36.525,32.21,90.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
27.635,32.21,90.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1k,tht
94.31,39.29,-90.0,top,SW0,,,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,SW_SPDT,tht
85.42,39.29,-90.0,top,SW1,,,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,SW_SPDT,tht
76.53,39.29,-90.0,top,SW2,,,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,SW_SPDT,tht
67.64,39.29,-90.0,top,SW3,,,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,SW_SPDT,tht
58.75,39.29,-90.0,top,SW4,,,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,SW_SPDT,tht
49.86,39.29,-90.0,top,SW5,,,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,SW_SPDT,tht
40.97,39.29,-90.0,top,SW6,,,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,SW_SPDT,tht
32.08,39.29,-90.0,top,SW7,,,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,SW_SPDT,tht
6.045,18.245,90.0,top,U1,,,DIP-14_W7.62mm,74HC04,tht
54.94,18.245,90.0,top,U2,,,DIP-14_W7.62mm,74HC00,tht
30.81,18.245,90.0,top,U3,,,DIP-14_W7.62mm,4068,tht
54.94,5.54,90.0,top,U4,,,DIP-20_W7.62mm,74LS241,tht
